id;movie_affiche;movie_titre;movie_titre_2;movie_genre;movie_distrib;movie_ba;movie_descr;movie_age;movie_illu;movie_bg;movie_tendance;movie_action;movie_aventure;movie_thriller;movie_romance
21;affiche21.jpg;Matrix;;Action, science-fiction;Keanu Reeves, Carrie-Anne Moss;ba_matrix.mp4;;-10;illu_matrix.png;bg_matrix.jpg;1;1;1;0;0
22;affiche22.jpg;Fast and Furious;1;Action, crime, thriller;Vin Diesel, Paul Walker, Michelle Rodriguez;ba_fastandfurious1.mp4;La nuit tombée, Dominic Toretto règne sur les rues de Los Angeles à la tête d'une équipe de fidèles qui partagent son goût du risque, sa passion de la vitesse et son culte des voitures de sport lancées à plus de 250 km/h dans des rodéos urbains d'une rare violence. Ses journées sont consacrées à bricoler et à relooker des modèles haut de gamme, à les rendre toujours plus performants et plus voyants, et à organiser des joutes illicites.;-13;illu_fastandfurious1.png;bg_fastandfurious1.jpg;1;1;1;0;0
23;affiche23.jpg;Fast and Furious;2;Action, crime, thriller;Vin Diesel, Paul Walker, Michelle Rodriguez;ba_fastandfurious2.mp4;Le FBI et les douanes locales surveillent depuis plusieurs mois le puissant homme d'affaires Carter Verone, qu'ils soupçonnent de se livrer à des opérations de blanchiment d'argent.;-13;illu_fastandfurious2.png;bg_fastandfurious2.jpg;1;1;1;0;0
24;affiche24.jpg;Fast and Furious;3;Action, crime, thriller;Vin Diesel, Paul Walker, Michelle Rodriguez;ba_fastandfurious3.mp4;Se sentant étranger dans son environnement, un jeune homme (Lucas Black) se définit par ses victoires à la course de rue. Cette activité le rendant impopulaire auprès des autorités, il part vivre au Japon avec son père. Il apprend que ce genre de course y existe, mais dans un style très différent.;-13;illu_fastandfurious3.png;bg_fastandfurious3.jpg;1;1;1;0;0
25;affiche25.jpg;Fast and Furious;4;Action, crime, thriller;Vin Diesel, Paul Walker, Michelle Rodriguez;ba_fastandfurious4.mp4;Un meurtre oblige Don Toretto, un ancien taulard et l'agent Brian O'Conner à revenir à L.A. où leur querelle se rallume. Mais confrontés à un ennemi commun, ils sont contraints à former une alliance incertaine s'ils espèrent parvenir à déjouer ses plans.;-13;illu_fastandfurious4.png;bg_fastandfurious4.jpg;1;1;1;0;0
26;affiche26.jpg;Fast and Furious;5;Action, crime, thriller;Vin Diesel, Paul Walker, Michelle Rodriguez;ba_fastandfurious5.mp4;L'ancien policier Brian O'Conner et son ami l'ex-prisonnier Dom Toretto sont maintenant tous deux considérés comme des ennemis de l'État. Après que Brian et Mia ont aidé Dom à s'évader de prison, ils ont traversé assez de frontières et brisé assez de lois pour attirer l'attention des autorités.;-13;illu_fastandfurious5.png;bg_fastandfurious5.jpg;1;1;1;0;0
27;affiche27.jpg;Fight Club;;Thriller, drame;Edward Norton, Brad Pitt;ba_fightclub.mp4;Pourvu d'une situation des plus enviable, un jeune homme à bout de nerfs retrouve un équilibre relatif en compagnie de Marla, rencontrée dans un groupe d'entraide. Il fait également la connaissance de Tyler Durden, personnage enthousiaste et charismatique.;-16;illu_fightclub.png;bg_fightclub.jpg;1;1;1;0;0
28;affiche28.jpg;The amazing Spider-Man;;Action, science-fiction;Andrew Garfield, Emma Stone;ba_theamazingspiderman1.mp4;Abandonné par ses parents lorsqu'il était enfant, Peter Parker, alias Spider-Man, a été élevé par son oncle et sa tante. Cependant, Peter voudrait comprendre qui il est pour pouvoir accepter son parcours. Il entame alors une quête pour élucider la disparition de ses parents, ce qui le conduit rapidement à Oscorp et au laboratoire du Dr Curt Connors. Spider-Man va bientôt se retrouver face au Lézard, l'alter ego de Connors. En décidant d'utiliser ses pouvoirs, il va embrasser son destin.;Tout Publics;illu_theamazingspiderman1.png;bg_theamazingspiderman1.jpg;1;1;1;0;0
29;affiche29.jpg;The amazing Spider-Man;;Action, science-fiction;Andrew Garfield, Emma Stone;ba_theamazingspiderman2.mp4;Ce n'est un secret pour personne que le combat le plus rude de Spider-Man est celui qu'il mène contre lui-même en tentant de concilier la vie quotidienne de Peter Parker et les lourdes responsabilités de Spider-Man. Peter Parker va se rendre compte qu'il fait face à un conflit de bien plus grande ampleur. Face à Electro, Peter devra affronter un ennemi nettement plus puissant que lui. Au retour de son vieil ami Harry Osborn, il se rend compte que tous ses ennemis ont un point commun : OsCorp.;Tout Publics;illu_theamazingspiderman2.png;bg_theamazingspiderman2.jpg;1;1;1;0;0
30;affiche30.jpg;Spider-Man;Homecoming;Action, science-fiction;Tom Holland, Zendaya, Jacob Batalon;ba_spidermanTH1.mp4;Après ses spectaculaires débuts avec les Avengers, le jeune Peter Parker découvre peu à peu sa nouvelle identité, celle de Spider-Man, le superhéros lanceur de toile. Galvanisé par ses expériences précédentes, Peter rentre chez lui auprès de sa tante May, sous l'oeil attentif de son nouveau mentor, Tony Stark. L'apparition d'un nouvel ennemi, le Vautour, va mettre en danger tout ce qui compte pour lui.;Tout Publics;illu_spidermanTH1.png;bg_spidermanTH1.jpg;1;1;1;0;0
31;affiche31.jpg;Spider-Man;Far From Home;Action, science-fiction;Tom Holland, Zendaya, Jacob Batalon;ba_spidermanTH2.mp4;L'araignée sympa du quartier décide de rejoindre ses meilleurs amis Ned, MJ, et le reste de la bande pour des vacances en Europe. Cependant, le projet de Peter de laisser son costume de super-héros derrière lui pendant quelques semaines est rapidement compromis quand il accepte à contrecoeur d'aider Nick Fury à découvrir le mystère de plusieurs attaques de créatures, qui ravagent le continent !;Tout Publics;illu_spidermanTH2.png;bg_spidermanTH2.jpg;1;1;1;0;0
32;affiche32.jpg;Spider-Man;No Way Home;Action, science-fiction;Tom Holland, Zendaya, Jacob Batalon;ba_spidermanTH3.mp4;Avec l'identité de Spiderman désormais révélée, celui-ci est démasqué et n'est plus en mesure de séparer sa vie normale en tant que Peter Parker des enjeux élevés d'être un superhéros. Lorsque Peter demande de l'aide au docteur Strange, les enjeux deviennent encore plus dangereux, l'obligeant à découvrir ce que signifie vraiment être Spiderman.;Tout Publics;illu_spidermanTH3.png;bg_spidermanTH3.jpg;1;1;1;0;0
33;affiche33.jpg;Twilight;Chapitre I : Fascination;Romance,fantasy;Kristen Stewart, Robert Pattinson, Taylor Lautner;ba_twilight1.mp4;Isabella Swan, 17 ans, déménage à Forks, petite ville pluvieuse dans l'Etat de Washington, pour vivre avec son père. Au lycée, elle est terriblement intriguée par le comportement d'une étrange fratrie, deux filles et trois garçons. Bella tombe follement amoureuse de l'un d'eux, Edward Cullen. Une relation sensuelle et dangereuse commence alors entre les deux jeunes gens : lorsque Isabella comprend que Edward est un vampire, il est déjà trop tard.;-13;illu_twilight1.png;bg_twilight1.jpg;1;1;1;0;0
34;affiche34.jpg;Twilight;Chapitre II : Tentation;Romance,fantasy;Kristen Stewart, Robert Pattinson, Taylor Lautner;ba_twilight2.mp4;Tu ne me reverras plus. Je ne reviendrai pas. Poursuis ta vie, ce sera comme si je n'avais jamais existé.' Abandonnée par Edward, celui qu'elle aime passionnément, Bella ne s'en relève pas. Comment oublier son amour pour un vampire et revenir à une vie normale ? Pour combler son vide affectif, Bella court après le danger et prends des risques de plus en plus inconsidérés. Edward n'étant plus là pour la protéger, c'est Jacob, l'ami discret et indéfectible qui va la défendre et veiller sur elle.;-13;illu_twilight2.png;bg_twilight2.jpg;1;1;1;0;0
35;affiche35.jpg;Twilight;Chapitre III : Hésitation;Romance,fantasy;Kristen Stewart, Robert Pattinson, Taylor Lautner;ba_twilight3.mp4;Des morts suspectes dans les environs de Seattle laissent présager une nouvelle menace pour Bella. Victoria cherche toujours à assouvir sa vengeance contre elle et rassemble une armée. Malgré leur haine ancestrale, les Cullen et les Quileutes vont devoir faire une trêve et s'associer pour avoir une chance de la sauver, mais Bella est obligée de choisir entre son amour pour Edward et son amitié pour Jacob tout en sachant que sa décision risque de relancer la guerre entre les deux clans.;-13;illu_twilight3.png;bg_twilight3.jpg;1;1;1;0;0
36;affiche36.jpg;Twilight;Chapitre 4 - Révélation, 1ère partie;Romance,fantasy;Kristen Stewart, Robert Pattinson, Taylor Lautner;ba_twilight4.mp4;Bella a fait son choix : elle s'apprête à épouser Edward. Cependant, le jeune homme honorera-t-il sa part du marché ? Acceptera-t-il de la transformer en vampire et de la voir renoncer à sa vie humaine ? Quand Jacob apprend que Bella veut passer sa lune de miel comme un être humain, il est horrifié. Sa passion pour Edward pourrait la tuer.;-13;illu_twilight4.png;bg_twilight4.jpg;1;1;1;0;0
37;affiche37.jpg;Twilight;Chapitre 5 - Révélation, 2e partie;Romance,fantasy;Kristen Stewart, Robert Pattinson, Taylor Lautner;ba_twilight5.mp4;La fille d'Edward et Bella est menacée par les Volturi. Les Cullen et Bella, devenue vampire, cherchent à la protéger. Après la naissance de Renesmée, les Cullen réunissent les autres clans de vampire afin de protéger l'enfant contre le grand clan Volturi.;-13;illu_twilight5.png;bg_twilight5.jpg;1;1;1;0;0
38;affiche38.jpg;Eaux Profondes;;Thriller, drame;Ana de Armas, Ben Affleck;ba_eauxprofondes.mp4;Vic et Melinda Van Allen est un couple aisé de la Nouvelle-Orléans dont le mariage s'écroule sous le poids de la rancoeur, de la jalousie et du doute. Alors que leurs provocations et manipulations mutuelles s'intensifient, les choses se transforment rapidement en un jeu du chat et de la souris mortel lorsque les amants de Melinda commencent à disparaître.;-18;illu_eauxprofondes.png;bg_eauxprofondes.jpg;1;1;1;0;0
39;affiche39.jpg;Pulp Fiction;;Comedie, thriller, drame;Quentin Tarantino, John Travolta;ba_pulpfiction.mp4;L'odyssée sanglante et burlesque de petits malfrats dans la jungle de Hollywood à travers trois histoires qui s'entremêlent. Dans un restaurant, un couple de jeunes braqueurs, Pumpkin et Yolanda, discutent des risques que comporte leur activité. Deux truands, Jules Winnfield et son ami Vincent Vega, qui revient d'Amsterdam, ont pour mission de récupérer une mallette au contenu mystérieux et de la rapporter à Marsellus Wallace.;-12;illu_pulpfiction.png;bg_pulpfiction.jpg;1;1;1;0;0
40;affiche40.jpg;Gran Torino;;Thriller, drame;Clint Eastwood, Scott Eastwood, Ahney Her;ba_grantorino.mp4;Walt Kowalski, un vétéran de la guerre de Corée, vient de perdre sa femme. Seul, misanthrope, bougon et raciste, il veille jalousement sur sa Ford Gran Torino, râlant sans cesse contre les habitants de son quartier, en majorité d'origine asiatique. Un jour, son jeune voisin, Tao, tente de lui voler sa voiture sous la pression d'un gang. Walt s'aperçoit bientôt que l'adolescent est littéralement harcelé par les jeunes caïds. Prenant la défense de Tao, Walt devient malgré lui le héros du quartier.;-12;illu_grantorino.png;bg_grantorino.jpg;1;1;1;0;0
41;affiche41.jpg;Inception;;Action, science-fiction, thriller, drame;Leonardo DiCaprio, Joseph Gordon-Levitt, Cillian Murphy;ba_inception.mp4;Dom Cobb est un voleur expérimenté dans l'art périlleux de `l'extraction' : sa spécialité consiste à s'approprier les secrets les plus précieux d'un individu, enfouis au plus profond de son subconscient, pendant qu'il rêve et que son esprit est particulièrement vulnérable. Très recherché pour ses talents dans l'univers trouble de l'espionnage industriel, Cobb est aussi devenu un fugitif traqué dans le monde entier. Cependant, une ultime mission pourrait lui permettre de retrouver sa vie d'avant.;-13;illu_inception.png;bg_inception.jpg;1;1;1;0;0
